source_type,rainfall_24h_mm,temperature_C,dissolved_oxygen_mgL,chlorine_mgL,month,fecal_coliform_MPN,season,pH,turbidity_NTU,persons_with_symptoms,risk_percent
pond,15.997,30.46,4.33,0.674,3,134.103,Summer,6.862,22.667,4,72.474
spring,2.404,27.731,7.106,0.05,5,41.23,Summer,7.272,7.451,4,27.643
deep_borehole,3.109,26.221,7.181,0.529,6,76.707,Monsoon,7.886,2.537,1,25.377
canal,2.656,22.438,7.395,0.479,4,17.267,Summer,7.129,14.589,4,36.473
shallow_well,7.236,27.057,9.163,0.974,10,9.538,Autumn,7.615,8.522,0,21.83
deep_borehole,3.884,26.164,5.86,0.756,11,26.62,Autumn,7.694,6.8,1,21.498
open_catchment,1.674,24.92,7.732,0.155,7,26.231,Monsoon,6.729,10.376,4,25.395
community_tank,6.036,27.098,7.502,0.509,3,22.634,Summer,7.026,20.075,2,45.061
community_tank,20.707,25.261,7.683,0.784,4,42.404,Summer,7.383,16.608,2,39.833
spring,8.453,26.646,6.534,0.525,11,20.376,Autumn,8.325,11.664,6,29.062
community_tank,21.065,28.107,8.145,0.357,5,20.884,Summer,7.729,24.244,0,59.492
reservoir,2.18,21.007,5.906,0.377,8,135.527,Monsoon,7.169,0.406,1,44.046
spring,1.827,21.926,6.295,0.367,9,12.442,Monsoon,7.367,9.324,2,25.29
open_catchment,8.57,22.263,6.722,0.02,3,120.849,Summer,8.174,18.205,2,67.623
piped_protected,6.224,30.82,6.656,0.731,1,74.896,Winter,7.867,5.542,0,26.861
community_tank,10.793,26.9,7.56,0.611,2,99.541,Winter,7.68,17.545,5,53.203
reservoir,15.829,27.18,7.39,0.269,2,99.521,Winter,7.656,20.394,4,61.776
river,13.915,28.388,7.403,0.63,3,28.692,Summer,7.387,9.737,1,27.734
pond,28.518,21.86,8.983,0.309,2,16.438,Winter,7.463,4.934,2,24.635
shallow_well,5.079,18.885,6.688,0.243,11,23.628,Autumn,8.179,3.83,3,27.208
community_tank,2.312,24.811,8.584,0.741,1,31.881,Winter,7.077,3.207,1,17.705
spring,8.005,27.693,5.403,0.809,12,10.215,Winter,7.904,11.866,5,30.732
open_catchment,1.174,24.407,6.808,0.626,11,48.075,Autumn,7.637,1.405,4,16.642
community_tank,3.409,20.89,6.899,0.784,6,21.35,Monsoon,7.182,11.264,1,37.126
deep_borehole,2.331,22.284,5.038,0.366,7,38.399,Monsoon,7.034,84.499,2,100.0
community_tank,5.051,21.462,7.068,0.072,12,26.546,Winter,7.62,11.86,2,36.324
spring,1.179,23.163,7.174,0.605,1,80.351,Winter,7.33,5.198,2,28.386
canal,0.324,21.522,7.896,0.256,9,54.577,Monsoon,7.534,24.259,2,65.336
canal,10.694,25.44,7.723,0.777,7,17.554,Monsoon,7.921,0.553,1,13.519
community_tank,9.422,23.357,5.084,0.358,12,34.935,Winter,7.447,14.905,0,35.343
shallow_well,12.322,26.9,8.794,0.671,11,3.998,Autumn,7.482,10.045,3,23.088
open_catchment,10.799,22.071,6.306,0.553,4,20.688,Summer,7.509,21.987,3,53.691
river,1.214,25.766,6.093,0.817,3,41.977,Summer,7.852,13.69,3,38.038
river,3.44,24.887,7.735,0.832,6,12.523,Monsoon,7.786,9.6,1,27.337
community_tank,1.387,26.188,8.277,0.068,3,68.344,Summer,7.201,4.088,4,23.679
community_tank,18.513,26.61,6.292,0.295,4,9.048,Summer,7.918,12.685,1,33.455
canal,13.74,26.931,6.933,0.871,9,43.47,Monsoon,8.129,14.871,2,38.904
spring,2.251,27.492,8.367,0.404,5,27.577,Summer,7.71,13.268,1,30.316
shallow_well,4.175,26.627,5.604,0.515,10,94.801,Autumn,7.11,17.183,6,47.81
reservoir,33.996,25.894,2.802,0.183,5,18.549,Summer,6.945,20.818,4,56.305
community_tank,9.018,23.0,7.807,0.553,9,26.894,Monsoon,7.132,3.994,2,16.084
river,16.152,27.552,8.373,0.265,2,120.131,Winter,7.522,18.69,0,61.172
open_catchment,3.073,22.909,4.609,0.829,7,121.776,Monsoon,7.428,13.46,1,51.067
piped_protected,2.358,24.124,6.97,0.2,7,5.112,Monsoon,7.85,13.06,2,34.008
deep_borehole,15.321,22.415,6.253,0.36,6,7.624,Monsoon,7.608,55.289,2,100.0
community_tank,11.58,22.353,7.193,0.095,4,129.295,Summer,7.16,20.07,3,67.987
spring,11.425,24.049,3.897,0.588,7,102.084,Monsoon,4.887,22.926,3,97.385
community_tank,8.044,24.301,5.099,0.942,3,71.763,Summer,7.867,13.725,2,38.429
spring,8.291,22.559,7.673,0.173,9,28.899,Monsoon,7.571,22.818,1,57.559
shallow_well,13.307,25.066,6.8,0.02,1,31.352,Winter,6.924,19.142,0,45.149
piped_protected,3.147,25.47,9.257,0.422,6,7.703,Monsoon,7.721,0.246,1,22.128
pond,4.351,23.365,7.883,0.748,1,20.936,Winter,7.367,2.708,2,16.914
open_catchment,20.529,31.869,5.555,0.975,6,77.907,Monsoon,7.905,15.788,2,43.561
open_catchment,3.694,25.998,8.079,0.051,5,28.673,Summer,7.275,17.239,1,50.3
spring,7.903,25.355,9.563,0.786,11,80.197,Autumn,7.49,6.09,3,28.287
canal,12.128,22.972,6.892,0.369,5,91.244,Summer,7.822,4.601,1,27.995
spring,94.957,25.414,7.604,0.154,11,83.074,Autumn,7.979,16.874,1,55.169
canal,5.714,25.722,8.238,0.192,10,50.171,Autumn,7.351,7.299,1,23.565
rooftop_rainwater,5.588,24.99,6.75,0.924,12,24.599,Winter,7.764,20.868,3,38.674
river,18.489,29.256,3.827,0.809,6,40.578,Monsoon,7.427,20.66,1,55.66
reservoir,16.373,19.896,7.834,0.312,8,12.176,Monsoon,7.365,23.504,3,64.552
open_catchment,13.133,23.859,8.2,0.94,9,6.619,Monsoon,8.31,9.493,2,28.431
reservoir,6.222,27.142,9.195,0.105,3,39.124,Summer,8.044,2.203,5,22.362
shallow_well,3.915,22.31,5.35,0.323,5,17.877,Summer,7.342,10.044,4,29.903
spring,9.384,20.36,5.419,0.653,6,16.336,Monsoon,7.559,11.026,0,34.466
shallow_well,20.893,23.443,5.966,0.999,1,27.331,Winter,6.548,17.703,2,33.574
piped_protected,21.522,28.132,6.748,0.466,1,76.713,Winter,7.838,11.056,0,32.568
shallow_well,1.148,22.381,7.808,0.811,1,102.371,Winter,8.301,21.937,2,56.646
community_tank,5.592,23.931,5.318,0.916,2,12.859,Winter,7.822,24.451,4,47.475
river,6.25,26.264,8.424,0.01,4,226.206,Summer,7.221,6.277,1,58.871
community_tank,37.994,23.262,8.348,0.289,6,48.027,Monsoon,7.764,19.092,0,52.632
deep_borehole,11.332,23.68,8.391,0.1,3,55.458,Summer,7.592,16.03,2,45.594
spring,5.23,23.044,6.535,0.776,9,12.264,Monsoon,7.833,3.07,1,17.273
open_catchment,0.264,23.297,3.647,0.567,3,30.539,Summer,7.719,3.706,3,20.639
reservoir,8.333,21.511,9.402,0.096,4,29.095,Summer,7.349,13.941,2,39.99
spring,1.01,24.228,6.111,0.421,4,5.862,Summer,7.412,22.835,2,41.268
river,17.985,28.193,8.076,0.514,11,30.876,Autumn,6.968,20.665,1,45.9
pond,13.964,29.748,7.183,0.698,5,70.937,Summer,7.315,3.876,1,33.13
reservoir,6.171,28.749,8.693,0.779,5,19.067,Summer,7.705,12.991,2,38.737
pond,5.607,25.413,6.923,0.088,2,15.315,Winter,7.767,5.673,3,15.126
deep_borehole,22.763,29.977,7.103,0.488,6,92.139,Monsoon,8.598,14.021,1,92.21
river,3.403,31.909,7.27,0.161,9,39.007,Monsoon,7.742,14.509,4,50.655
rooftop_rainwater,2.864,25.544,7.626,0.753,5,30.086,Summer,7.701,1.73,3,13.072
rooftop_rainwater,28.001,22.028,5.147,0.658,1,37.845,Winter,7.178,21.14,2,48.177
rooftop_rainwater,16.568,28.936,9.813,0.723,9,56.569,Monsoon,7.533,3.614,3,29.908
open_catchment,17.183,21.39,6.894,0.075,7,76.149,Monsoon,8.015,10.168,6,46.801
open_catchment,2.172,22.34,7.863,0.51,7,86.686,Monsoon,9.148,4.755,1,90.955
rooftop_rainwater,1.547,18.752,9.274,0.841,11,49.081,Autumn,8.092,5.428,1,22.624
pond,0.264,27.182,6.988,0.713,6,116.4,Monsoon,7.061,0.559,4,26.052
river,2.706,18.054,5.506,0.862,1,5.515,Winter,8.745,7.263,3,77.005
shallow_well,14.881,27.979,5.458,0.206,11,95.024,Autumn,7.455,11.931,3,46.068
river,2.745,30.428,6.325,0.287,7,26.258,Monsoon,7.47,4.522,1,27.549
rooftop_rainwater,13.06,30.183,7.5,0.441,4,10.379,Summer,8.155,13.89,1,40.344
river,2.902,21.203,7.657,0.523,5,91.484,Summer,7.099,13.734,2,38.461
piped_protected,5.03,19.409,8.695,0.252,7,33.664,Monsoon,7.668,21.511,1,66.324
open_catchment,40.841,23.073,4.695,0.381,3,81.391,Summer,7.02,19.27,1,56.465
open_catchment,2.808,27.638,7.333,0.687,2,25.297,Winter,8.053,18.613,1,41.335
pond,4.722,28.611,7.924,0.645,11,46.164,Autumn,7.041,14.454,1,33.125
shallow_well,3.582,26.993,7.867,0.11,1,27.65,Winter,7.116,17.392,3,43.747
rooftop_rainwater,1.161,26.584,3.375,0.986,8,33.083,Monsoon,8.347,6.592,1,26.779
spring,6.731,32.083,6.442,0.563,8,18.434,Monsoon,7.575,2.796,2,29.376
reservoir,4.759,23.566,8.221,0.484,7,10.148,Monsoon,6.603,1.429,5,15.367
pond,11.871,22.666,5.781,0.967,10,11.793,Autumn,7.07,21.924,1,43.076
pond,17.015,21.433,5.221,0.14,9,40.462,Monsoon,7.226,4.672,3,25.89
shallow_well,7.858,26.299,7.846,0.544,10,18.787,Autumn,7.848,21.138,4,44.714
community_tank,0.327,24.461,7.449,0.805,11,55.27,Autumn,7.453,14.317,1,32.632
rooftop_rainwater,9.648,27.475,7.346,0.399,1,28.185,Winter,7.463,9.759,1,23.407
spring,0.57,23.648,6.031,0.736,3,20.189,Summer,7.542,20.753,2,42.713
open_catchment,9.58,26.886,5.028,0.899,5,182.843,Summer,7.899,2.553,2,39.301
shallow_well,11.553,23.848,8.424,0.262,2,17.649,Winter,8.516,18.303,3,80.545
spring,2.204,24.512,12.006,0.241,7,38.273,Monsoon,7.811,21.159,2,58.818
piped_protected,17.112,24.796,4.57,0.361,12,181.073,Winter,7.141,14.711,2,63.289
pond,24.201,19.899,8.53,0.418,6,81.032,Monsoon,8.211,13.209,4,49.395
shallow_well,16.771,24.58,6.743,0.111,12,43.876,Winter,7.141,17.705,1,47.832
open_catchment,3.64,26.686,7.476,0.231,11,16.405,Autumn,7.511,2.783,4,17.433
river,8.834,22.036,6.91,0.873,10,4.532,Autumn,7.332,20.867,2,44.711
open_catchment,24.629,30.73,10.293,0.567,2,2.754,Winter,7.358,11.191,4,35.057
piped_protected,3.866,25.015,5.797,0.268,8,21.914,Monsoon,7.318,20.438,2,56.789
shallow_well,17.15,23.12,6.098,0.944,3,178.083,Summer,7.522,18.043,1,59.672
reservoir,0.095,23.028,7.114,0.774,4,15.071,Summer,7.974,5.59,3,13.836
piped_protected,0.037,29.112,7.851,0.362,5,11.893,Summer,7.074,18.086,1,45.195
rooftop_rainwater,14.259,22.526,9.002,0.765,6,25.357,Monsoon,7.706,13.264,1,35.693
rooftop_rainwater,14.332,25.894,7.737,0.596,12,36.581,Winter,7.328,3.553,1,19.308
reservoir,15.558,27.649,7.338,0.684,9,42.304,Monsoon,7.96,8.545,1,29.933
river,26.596,26.663,6.337,0.321,12,101.344,Winter,7.9,24.356,3,72.031
reservoir,1.255,23.312,7.769,0.209,9,13.594,Monsoon,7.156,0.345,3,20.207
pond,2.639,27.518,5.93,0.254,9,113.415,Monsoon,7.369,18.258,3,60.423
community_tank,23.405,25.467,7.303,0.084,8,61.186,Monsoon,7.489,16.19,0,49.249
canal,1.951,19.84,6.673,0.471,5,17.909,Summer,7.623,5.633,3,25.015
spring,11.464,28.67,5.526,0.406,5,13.071,Summer,7.735,0.393,2,28.758
piped_protected,7.56,23.159,9.338,0.003,4,8.82,Summer,7.169,9.692,2,31.958
spring,0.869,24.473,5.531,0.856,7,102.06,Monsoon,7.346,2.932,3,24.778
river,3.358,25.928,6.409,0.682,11,23.675,Autumn,7.444,6.192,0,19.379
spring,7.347,23.404,4.623,0.447,4,23.6,Summer,7.608,14.931,6,41.203
spring,19.129,27.271,6.748,0.967,5,40.82,Summer,6.584,5.373,4,17.549
open_catchment,12.294,21.688,7.65,0.941,9,10.827,Monsoon,7.018,20.083,2,41.558
shallow_well,9.726,23.277,5.64,0.095,7,145.4,Monsoon,9.43,16.092,4,100.0
pond,6.852,28.677,4.271,0.615,9,44.464,Monsoon,7.46,10.156,2,37.276
canal,3.548,25.076,6.437,0.817,8,43.24,Monsoon,7.909,20.567,3,49.609
shallow_well,1.27,21.83,6.765,0.173,11,29.237,Autumn,7.565,23.924,3,59.886
open_catchment,5.261,25.236,6.647,0.128,12,8.428,Winter,7.469,17.663,0,41.182
spring,0.289,26.205,9.378,0.26,3,91.852,Summer,7.028,22.317,2,57.645
canal,2.371,20.242,7.502,0.28,3,307.092,Summer,7.161,9.299,0,83.658
open_catchment,5.665,29.963,7.385,0.965,12,13.94,Winter,7.989,16.865,3,39.377
open_catchment,5.423,30.368,7.495,0.78,2,12.93,Winter,7.091,2.39,4,17.293
open_catchment,0.453,25.36,7.485,0.06,12,13.911,Winter,7.383,12.829,1,34.46
rooftop_rainwater,8.893,24.4,6.335,0.786,3,15.649,Summer,7.596,19.249,2,42.657
canal,7.978,25.069,5.597,0.17,10,137.017,Autumn,6.62,2.909,3,36.718
reservoir,0.813,27.679,10.707,0.357,3,11.871,Summer,8.31,11.491,3,29.845
open_catchment,28.676,26.358,6.781,0.319,3,335.327,Summer,7.884,12.159,2,90.083
community_tank,1.047,25.718,7.032,0.272,11,206.478,Autumn,7.757,11.728,0,67.246
spring,19.299,29.147,7.068,0.309,6,71.444,Monsoon,7.667,4.548,2,29.465
canal,0.003,28.393,5.865,0.754,9,58.036,Monsoon,7.8,10.347,0,31.947
rooftop_rainwater,21.395,22.12,7.268,0.267,12,76.975,Winter,7.11,15.74,2,50.515
piped_protected,0.199,27.662,5.082,0.801,7,18.946,Monsoon,6.552,8.487,1,26.586
piped_protected,14.18,28.455,8.074,0.091,7,10.52,Monsoon,7.128,18.575,2,50.182
pond,4.489,25.835,6.616,0.595,7,36.607,Monsoon,7.767,4.96,3,20.461
deep_borehole,13.402,26.797,8.692,0.863,1,8.654,Winter,6.873,5.682,4,21.207
community_tank,5.137,24.078,7.776,0.079,4,15.654,Summer,7.239,11.86,1,30.16
piped_protected,0.735,21.387,7.591,0.635,9,70.046,Monsoon,7.525,24.786,3,64.476
rooftop_rainwater,14.589,30.662,5.809,0.512,4,48.767,Summer,7.617,2.129,3,27.43
deep_borehole,0.739,20.982,7.105,0.332,7,131.147,Monsoon,7.061,15.262,2,60.793
open_catchment,25.526,30.044,8.133,0.101,2,24.338,Winter,7.841,12.234,1,41.717
open_catchment,0.523,24.804,7.175,0.676,6,188.276,Monsoon,7.78,11.084,3,58.985
river,6.526,28.742,4.964,0.309,5,16.929,Summer,7.617,23.376,2,55.893
spring,12.839,25.069,8.478,0.339,10,79.972,Autumn,7.072,12.109,3,37.108
deep_borehole,4.996,27.812,8.134,0.718,2,38.134,Winter,7.963,10.921,2,29.42
spring,2.449,26.347,4.749,0.945,12,96.928,Winter,7.52,5.677,1,23.211
rooftop_rainwater,14.233,22.992,7.189,0.334,11,15.809,Autumn,7.216,18.985,0,43.593
community_tank,15.338,25.402,8.223,0.747,3,78.063,Summer,7.359,9.51,2,30.199
deep_borehole,25.6,24.571,6.101,0.957,3,51.953,Summer,7.164,20.892,3,40.092
piped_protected,4.719,26.929,5.012,0.098,3,14.024,Summer,6.652,20.196,3,52.01
community_tank,7.057,25.425,5.388,0.529,5,308.93,Summer,7.439,3.026,2,65.733
river,4.512,25.858,6.837,0.011,10,28.882,Autumn,7.984,0.279,4,17.942
reservoir,2.972,21.922,8.396,0.825,9,75.889,Monsoon,7.871,6.025,0,27.244
spring,13.904,21.166,5.369,0.287,7,60.384,Monsoon,7.602,67.854,2,100.0
spring,4.15,25.212,5.38,0.333,6,9.895,Monsoon,7.135,3.221,4,13.468
community_tank,5.589,25.545,6.545,0.687,4,86.726,Summer,7.516,20.547,1,52.755
open_catchment,5.17,21.845,8.031,0.789,5,10.236,Summer,7.618,12.078,1,29.212
spring,12.471,26.715,9.631,0.4,6,21.725,Monsoon,7.342,11.85,2,37.173
river,24.985,26.845,7.132,0.666,12,45.933,Winter,8.248,5.48,2,27.065
piped_protected,10.989,25.468,5.988,0.956,8,34.587,Monsoon,6.849,23.931,2,56.427
canal,6.379,25.047,5.805,0.887,9,61.133,Monsoon,7.826,15.847,1,37.667
piped_protected,15.105,21.198,9.058,0.701,2,3.544,Winter,7.348,10.819,2,25.781
piped_protected,10.244,21.147,5.106,0.943,8,8.196,Monsoon,8.106,4.818,2,22.196
spring,0.625,26.184,7.291,0.876,8,64.357,Monsoon,7.948,11.68,1,34.896
reservoir,1.006,22.516,8.976,0.729,7,27.838,Monsoon,7.62,2.3,3,22.164
shallow_well,0.387,22.727,6.763,0.917,4,47.075,Summer,7.808,17.211,2,38.201
open_catchment,6.103,25.836,5.378,0.817,12,50.588,Winter,7.21,18.74,2,37.045
spring,17.479,31.113,7.794,0.502,9,12.638,Monsoon,7.176,14.73,1,42.52
open_catchment,3.755,23.808,7.156,0.502,7,9.35,Monsoon,8.038,2.707,2,20.449
rooftop_rainwater,4.848,31.152,7.706,0.009,5,71.776,Summer,7.04,13.932,1,53.238
shallow_well,24.022,24.771,7.868,0.03,4,16.676,Summer,8.093,22.705,2,55.666
spring,18.134,26.692,7.777,0.746,6,41.903,Monsoon,9.194,7.586,0,83.09
pond,10.938,27.879,7.444,0.555,6,30.229,Monsoon,7.083,7.798,2,29.556
piped_protected,3.103,28.098,8.015,0.761,9,11.22,Monsoon,7.737,12.08,3,34.467
rooftop_rainwater,1.245,26.017,9.024,0.95,7,20.779,Monsoon,8.285,16.375,0,38.919
shallow_well,0.162,24.311,5.825,0.453,1,93.613,Winter,7.342,22.472,2,58.493
spring,1.132,27.484,6.602,0.088,4,41.111,Summer,7.47,20.571,2,49.827
river,3.462,26.272,8.191,0.627,4,24.675,Summer,7.491,14.966,1,37.865
community_tank,8.025,23.692,6.891,0.1,5,51.153,Summer,7.722,21.908,1,53.614
community_tank,0.661,29.227,5.104,0.621,5,135.461,Summer,8.108,24.085,3,68.091
open_catchment,1.464,26.372,7.499,0.528,10,33.821,Autumn,7.055,10.882,0,31.496
shallow_well,1.998,22.752,6.263,0.712,4,284.636,Summer,7.031,9.587,3,73.177
piped_protected,9.996,22.402,10.181,0.351,3,47.791,Summer,7.867,16.249,3,42.6
piped_protected,9.566,30.877,8.49,0.144,6,25.888,Monsoon,8.295,20.764,1,59.297
reservoir,8.002,23.522,8.739,0.236,11,50.082,Autumn,6.521,18.599,0,47.9
canal,2.884,27.259,7.063,0.684,2,330.456,Winter,7.09,20.237,4,95.388
community_tank,4.638,26.131,7.466,0.478,12,135.946,Winter,7.992,7.59,1,37.644
rooftop_rainwater,1.017,27.157,6.486,0.541,9,8.717,Monsoon,7.907,1.493,0,15.97
shallow_well,2.568,30.735,5.743,0.323,6,8.01,Monsoon,7.105,10.801,2,31.46
piped_protected,22.799,27.992,5.632,0.837,11,26.188,Autumn,8.496,7.059,3,19.052
canal,38.967,27.507,10.205,0.999,5,311.538,Summer,7.439,19.926,2,86.616
shallow_well,10.432,24.409,7.595,0.312,3,40.469,Summer,7.963,16.942,1,42.267
deep_borehole,24.868,23.006,5.016,0.719,4,16.996,Summer,7.617,21.897,3,46.742
piped_protected,10.293,32.258,8.442,0.171,6,260.957,Monsoon,7.489,11.177,5,88.909
deep_borehole,0.338,24.874,10.935,0.742,3,92.999,Summer,7.382,1.795,4,19.64
shallow_well,57.33,24.68,4.697,0.431,10,25.02,Autumn,8.317,20.771,3,47.462
piped_protected,1.042,25.866,7.9,0.605,7,18.802,Monsoon,7.438,2.28,0,15.194
reservoir,11.477,25.574,5.316,0.238,5,91.141,Summer,7.007,13.968,3,41.594
deep_borehole,2.915,29.778,8.733,0.852,10,13.145,Autumn,7.885,4.394,2,19.518
pond,4.975,26.619,3.791,0.173,1,20.397,Winter,7.203,12.486,0,35.993
canal,10.383,21.07,7.118,0.929,9,38.317,Monsoon,7.69,10.522,5,31.986
rooftop_rainwater,5.736,23.021,7.666,0.061,9,20.647,Monsoon,8.03,3.761,1,19.922
community_tank,2.884,25.032,4.923,0.288,1,13.73,Winter,7.521,16.778,5,36.82
canal,4.071,28.077,7.666,0.563,4,47.992,Summer,7.675,19.512,1,46.647
deep_borehole,4.179,20.439,6.303,0.858,12,38.849,Winter,7.446,2.846,4,19.081
piped_protected,32.021,26.482,9.585,0.577,4,42.03,Summer,7.014,24.439,1,55.187
reservoir,16.025,27.194,4.864,0.216,10,4.814,Autumn,7.93,0.086,2,20.004
pond,6.135,27.647,8.363,0.859,8,99.714,Monsoon,7.692,2.26,1,33.147
reservoir,2.229,24.76,6.85,0.596,2,5.22,Winter,7.549,11.86,2,23.273
pond,16.661,28.148,8.94,0.232,7,44.445,Monsoon,6.984,10.386,3,32.441
community_tank,1.71,22.555,8.975,0.562,8,317.418,Monsoon,7.258,22.18,0,100.0
reservoir,2.363,27.836,6.623,0.675,3,80.628,Summer,8.324,23.605,2,57.825
pond,4.557,24.815,6.933,0.681,10,24.552,Autumn,8.029,24.268,2,50.454
reservoir,21.232,25.129,8.363,0.724,3,19.74,Summer,8.051,1.627,0,14.902
canal,1.413,25.095,7.783,0.896,9,29.26,Monsoon,7.911,24.722,1,58.239
spring,1.304,26.95,6.824,0.825,8,102.844,Monsoon,7.427,16.126,1,50.598
pond,6.812,21.686,5.75,0.608,1,59.701,Winter,7.429,22.391,1,53.473
community_tank,3.235,27.656,7.548,0.032,2,33.585,Winter,7.928,24.04,2,56.311
pond,8.41,27.613,5.333,0.75,4,90.701,Summer,6.369,14.034,3,77.074
pond,6.008,24.096,7.972,0.975,11,9.179,Autumn,7.391,7.712,1,14.874
river,5.709,25.007,8.666,0.306,6,18.183,Monsoon,6.931,12.597,2,40.734
canal,1.188,22.422,5.761,0.607,3,19.812,Summer,7.598,13.399,1,34.877
deep_borehole,1.52,21.519,6.374,0.769,4,98.422,Summer,8.055,24.244,3,58.773
open_catchment,17.208,25.592,6.054,0.639,4,42.2,Summer,7.562,4.351,1,21.28
spring,21.705,25.612,8.581,0.923,10,379.517,Autumn,7.424,23.141,2,97.707
pond,2.675,23.989,7.082,0.473,7,73.599,Monsoon,7.803,22.943,1,65.315
rooftop_rainwater,1.204,21.251,6.451,0.532,7,16.304,Monsoon,7.36,4.3,0,17.69
pond,0.549,26.371,7.971,0.038,7,84.263,Monsoon,7.466,5.757,2,28.202
river,9.373,23.916,6.279,0.9,4,16.39,Summer,7.303,10.618,2,21.509
reservoir,12.565,22.752,6.694,0.262,12,21.397,Winter,7.226,8.206,2,27.711
deep_borehole,4.665,28.828,5.328,0.978,5,29.674,Summer,6.922,12.384,2,30.934
rooftop_rainwater,11.384,22.075,8.258,0.202,4,44.521,Summer,7.716,9.956,2,34.072
spring,12.481,26.686,5.362,0.253,9,39.952,Monsoon,6.945,21.165,4,56.341
rooftop_rainwater,27.386,20.501,9.149,0.485,4,39.827,Summer,7.879,3.291,3,23.499
canal,0.671,20.691,7.358,0.661,1,12.349,Winter,7.723,17.487,2,39.996
community_tank,2.136,26.448,6.765,0.441,8,31.986,Monsoon,6.834,75.97,2,100.0
community_tank,0.71,23.992,6.98,0.352,6,43.69,Monsoon,7.607,13.083,3,37.225
spring,20.249,21.493,9.565,0.54,2,75.613,Winter,7.988,14.302,2,45.592
deep_borehole,15.73,27.85,4.981,0.958,1,20.271,Winter,7.261,16.653,1,41.462
community_tank,8.548,26.114,5.092,0.962,10,2.411,Autumn,7.982,18.945,2,38.784
shallow_well,0.874,18.616,8.439,0.328,7,97.682,Monsoon,7.566,24.091,1,74.231
river,3.193,27.878,5.618,0.68,8,56.33,Monsoon,7.02,1.739,2,24.442
spring,3.534,21.808,5.891,0.722,10,8.748,Autumn,7.34,72.634,1,100.0
spring,8.227,19.876,6.335,0.653,9,7.63,Monsoon,7.529,8.884,3,23.882
open_catchment,2.985,22.538,8.688,0.113,11,61.829,Autumn,7.54,11.147,0,35.693
open_catchment,0.758,24.875,8.214,0.539,4,23.814,Summer,7.399,8.609,1,22.894
canal,13.122,25.232,6.788,0.763,7,8.044,Monsoon,6.877,4.273,4,22.329
canal,3.554,20.095,7.601,0.201,5,11.322,Summer,8.31,22.62,2,59.077
open_catchment,6.022,20.761,7.564,0.348,2,27.921,Winter,7.287,24.927,0,55.516
community_tank,1.366,22.717,5.496,0.204,3,15.238,Summer,7.182,0.791,3,15.148
piped_protected,16.223,22.909,5.598,0.887,8,19.615,Monsoon,7.569,23.274,1,57.707
spring,8.336,27.285,3.945,0.859,10,34.624,Autumn,7.379,13.741,4,33.554
shallow_well,23.186,23.76,9.236,0.169,11,90.613,Autumn,7.781,15.604,3,47.01
spring,6.841,27.228,5.995,0.761,5,56.787,Summer,6.876,11.684,1,27.914
pond,28.375,28.287,7.02,0.364,3,40.087,Summer,7.665,5.74,1,23.706
deep_borehole,22.244,26.667,7.808,0.686,8,130.751,Monsoon,7.182,3.375,0,43.274
river,8.591,15.778,5.543,0.493,7,12.777,Monsoon,6.617,14.392,2,48.114
piped_protected,27.165,24.088,5.729,0.472,7,30.264,Monsoon,8.083,5.821,3,23.598
shallow_well,3.902,24.501,5.619,0.881,7,17.729,Monsoon,7.915,17.099,4,43.351
pond,4.551,24.837,2.655,0.637,5,28.15,Summer,7.146,20.54,1,57.919
canal,0.465,18.753,6.902,0.236,4,30.684,Summer,7.31,17.547,2,45.703
shallow_well,8.897,22.708,10.506,0.111,6,17.088,Monsoon,7.802,6.203,0,20.105
open_catchment,12.799,20.913,6.206,0.933,6,22.194,Monsoon,8.193,20.842,1,45.433
spring,14.851,22.22,6.247,0.153,6,62.453,Monsoon,5.081,4.899,2,100.0
shallow_well,1.623,24.224,6.445,0.734,11,28.803,Autumn,7.07,8.589,1,22.429
deep_borehole,5.873,22.775,7.467,0.496,8,2.128,Monsoon,7.129,14.764,1,42.837
rooftop_rainwater,1.946,22.441,8.322,0.14,6,64.055,Monsoon,7.549,7.749,3,36.781
canal,10.851,24.406,5.748,0.777,10,55.053,Autumn,7.241,3.449,2,18.031
reservoir,1.719,23.523,7.694,0.904,4,9.24,Summer,7.25,17.943,3,37.473
river,23.451,25.599,6.871,0.122,10,145.309,Autumn,7.388,12.609,0,57.453
river,2.622,23.74,7.448,0.067,10,25.107,Autumn,9.144,0.746,3,83.692
shallow_well,3.445,20.297,7.677,0.85,12,87.585,Winter,7.826,12.736,1,38.594
rooftop_rainwater,19.032,21.907,5.538,0.501,4,33.453,Summer,6.78,20.322,1,43.488
spring,6.134,24.016,6.211,0.675,5,19.884,Summer,8.039,23.307,0,50.002
reservoir,0.243,23.656,7.694,0.441,7,47.093,Monsoon,8.052,13.905,3,38.749
pond,6.824,20.76,6.79,0.412,11,19.183,Autumn,7.507,19.217,2,46.971
piped_protected,0.883,27.03,8.188,0.3,1,27.57,Winter,7.302,3.144,3,22.09
spring,42.23,25.937,6.666,0.563,1,6.97,Winter,7.385,0.024,2,20.915
pond,8.87,23.198,8.516,0.16,5,23.773,Summer,7.903,11.964,2,36.784
piped_protected,2.964,24.509,4.056,0.717,5,9.616,Summer,7.345,6.583,2,23.515
rooftop_rainwater,8.295,21.784,7.485,0.549,11,31.886,Autumn,7.482,24.828,4,56.069
